"Step","00_sapg_6_6789_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h22m21s - successes/time","00_sapg_6_6789_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h22m21s - successes/time__MIN","00_sapg_6_6789_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h22m21s - successes/time__MAX","00_sapg_6_98765_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m51s - successes/time","00_sapg_6_98765_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m51s - successes/time__MIN","00_sapg_6_98765_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m51s - successes/time__MAX","00_sapg_6_2023_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m00s - successes/time","00_sapg_6_2023_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m00s - successes/time__MIN","00_sapg_6_2023_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h20m00s - successes/time__MAX","00_comparison_6_12345_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h18m49s - successes/time","00_comparison_6_12345_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h18m49s - successes/time__MIN","00_comparison_6_12345_24576envs_mixed_expl_learn_param_lf_1p_21_01_09h18m49s - successes/time__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0","0","0","0","0","0","0","0","0","0","0","0"
"2","0","0","0","","","","0","0","0","0","0","0"
"3","0","0","0","","","","0","0","0","0","0","0"
"4","0","0","0","0","0","0","0","0","0","0","0","0"
"5","0","0","0","0","0","0","0","0","0","0","0","0"
"6","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"7","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"8","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"9","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"10","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"11","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"12","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0","0","0"
"13","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"14","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"15","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"16","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"17","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"18","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"19","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"20","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"21","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"22","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"23","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"24","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"25","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"26","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"27","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"28","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"29","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"30","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"31","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"32","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"33","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0.000244140625","0.000244140625","0.000244140625"
"34","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"35","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0","0","0","0"
"36","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0","0","0"
"37","0.000244140625","0.000244140625","0.000244140625","","","","0","0","0","0","0","0"
"38","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0.000244140625","0","0","0","0","0","0"
